SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
1.1.1.1,192.168.68.63,443,37244,2024-07-27 18:27:34,2.122862,14100,6641.976727644095565326431958,12669,5967.886749115109696249685566,5455.770975,73.86319093432127,133.845,105.0,66,1.1715578342255268,0.9185224621601765,0.5518561839016868,0.298156462511918975,0.5460370523251320305039383689,1.115516645,1.3009445,0.438338,-1.018765233295499498616104477,1.2401697689130098,0.4894925188006782547865418619,0.0009765114338043704474505723206,0.03124918293018827792356836627,0.009693258064516129032258064516,0.000033,2e-05,0.9274090224468399069187865690,0.30955235169273104,3.223805940397005619571366046,True
1.1.1.1,192.168.68.63,443,37244,2024-07-27 18:27:36,2.185029,14474,6624.168374881980971419601296,12682,5804.041960083824974405374025,6121.7016,78.24130367012043,135.78,105.0,66,1.1801950589847305,0.8918563051327106,0.5762358496841982,0.2642941584359319,0.5140954759924773934403805281,1.02027041,0.982835,0.198155,0.2184540328490331701352794330,1.5991492794463529,0.5038815895802343159598057226,0.001085599810112382934443288241,0.03294844169475064771296501925,0.007966129032258064516129032258,0.000035,3.4e-05,0.7221399821335089336003114232,0.24074367782685802,4.136066784925167358177426996,True
192.168.68.63,1.1.1.1,37244,443,2024-07-27 18:27:38,2.231907,13684,6131.079834419624115162504531,14560,6523.569306427194323060951912,8995.861599999998,94.84651601403183,141.22,113.0,66,0.8925999979532742,0.7930707754080473,0.6716224048578943,0.4472941891444256,0.6688005600658731505814384546,0.88175612,0.517419,0.203914,1.634285951991942763013394094,1.0135190675277488,0.7584870066633312968459333796,0.0003589361063134693877551020403,0.01894560915656895387319733885,0.01152017142857142857142857143,0.005815,0.000367,0.9034026905268377243648851883,0.5886942634781592,1.644559655560466326299476842,True
192.168.68.63,1.1.1.1,37244,443,2024-07-27 18:27:41,2.052745,11938,5815.627367257014388051121791,13658,6653.529785725942579326706435,5620.1996,74.96799050261384,127.98,105.0,66,0.9195924759060514,0.8267528525769808,0.5857789537631961,0.4202476361163736,0.6482650970986897116491375293,0.97689008,1.0378235,1.90496,-0.2819838069612609413726728801,-1.4316209898598222,0.6636008598825056260670980806,0.0004127532202222222222222222222,0.02031632890613415478287010719,0.015170,0.007243,3.6e-05,1.170536276995385189789174427,0.7449180444913233,1.339243830331849359450896980,True
192.168.68.63,1.1.1.1,37244,443,2024-07-27 18:27:43,2.028574,12374,6099.851422723548660290430618,14533,7164.145848265826141910524339,6197.318775,78.72305110321881,134.535,105.0,66,1.1255280220760795,0.8705836351558502,0.5851492258759342,0.361332971732192975,0.6011097834274476146874559657,0.917811955,1.007233,1.8842,-0.4462797685148284759575549199,-1.6076731266787652,0.6549378444601406555959014128,0.000627098257248888888888888889,0.02504192998250911348651956495,0.01536413333333333333333333333,0.0071415,1.5e-05,0.9850638515972866323330539402,0.6129373152969501,1.629895382916214830634957062,True
192.168.68.63,1.1.1.1,37244,443,2024-07-27 18:27:45,2.039950,12395,6076.129316895021936812176769,13949,6837.912693938576925905046692,5998.5416,77.45025242050538,131.72,105.0,66,1.0349869431642704,0.8485446844405671,0.5879915914098496,0.358178573138109975,0.5984802195044627997517135012,0.911900505,1.018222,0.876711,-0.5329574388675706560660154653,0.05879810869795597,0.6562999101579210110775336189,0.0009576337229521484375,0.03094565757827983912399125446,0.01951628125,0.007387,1.8e-05,1.175862676627687062124270764,0.63008133534333,1.585632897060234727043158105,True
1.1.1.1,192.168.68.63,443,37244,2024-07-27 18:27:47,2.187023,20965,9586.090315465360903840517452,19096,8731.503966807847928439710053,5363.215322222222,73.23397655611925,133.53666666666666,105.0,66,1.1689929186679762,0.9222040075198329,0.5484184859797752,0.516606563247168122222222219,0.7187534787722200111746092124,0.9374605433333333333333333333,1.0218505,1.904747,-0.3522346360430375064129584192,-1.3457833391206573,0.7667026456564716053574235717,0.0007596824278155991735537190086,0.02756233712542532510618034368,0.004433340909090909090909090909,0.0000275,2.5e-05,0.4795501436298741504842215896,0.15994075136046296,6.217057900714699588715339457,True
1.1.1.1,192.168.68.63,443,37244,2024-07-27 18:27:49,2.048925,14243,6951.450150688775821467354832,13696,6684.480886318435277035518626,5795.8519750000005,76.13049306946593,139.695,121.0,66,0.7366956095874059,0.9680089676124435,0.5449765064566802,0.403154171644644375,0.6349442271921561261498610516,1.083211225,1.026264,0.864066,0.2690656402303148885757338864,0.3451409046887502,0.5861684337624512025804210546,0.00005852114494204081632653061226,0.007649911433607634671236682824,0.001908028571428571428571428571,0.000025,1.6e-05,0.7384511263056090571548475612,0.24732685964395623,4.009327505971267478673333716,True
1.1.1.1,192.168.68.63,443,37244,2024-07-27 18:27:51,2.016476,13912,6899.164681354997530345017744,11872,5887.498785009095074774011692,6182.833600000001,78.63099643270458,128.92,105.0,66,0.9126172025737321,0.8001933442856639,0.609920853496002,0.3849398346583111,0.6204351977912851294716826356,1.06991633,1.007614,0.710938,0.3012514291023115890687419398,0.5785911748365391,0.5798913245779556701145804884,0.001127765041207075962539021853,0.03358221316719724418673813113,0.01135022580645161290322580645,0.000035,2.5e-05,1.010823117891247936460127053,0.33723881597875077,2.958726437680974287249882950,True
192.168.68.63,1.1.1.1,37244,443,2024-07-27 18:27:53,2.040330,12580,6165.669278989183122338053158,13484,6608.734861517499620159484005,5920.0776000000005,76.94204052402041,130.32,105.0,66,0.9872366197031927,0.8359539149461475,0.5904085368632629,0.398250898232772975,0.6310712307123285231150436656,1.121713205,1.1533295,1.92535,-0.1502982236932878215502643378,-1.2734486312945783,0.5625958827081192497105743403,0.001526611837253460207612456747,0.03907188039055018666983785320,0.02486673529411764705882352941,0.007348,5e-06,1.345115857159105015433687214,0.6363076218909248,1.571250907222744236364061851,True
